x,U_KMB,U_exact
-6,0,0
-5.99199,0,0
-5.98399,0,0
-5.97598,0,0
-5.96798,0,0
-5.95997,0,0
-5.95197,0,0
-5.94396,0,0
-5.93596,0,0
-5.92795,0,0
-5.91995,0,0
-5.91194,0,0
-5.90394,0,0
-5.89593,0,0
-5.88793,0,0
-5.87992,0,0
-5.87191,0,0
-5.86391,0,0
-5.8559,0,0
-5.8479,0,0
-5.83989,0,0
-5.83189,0,0
-5.82388,0,0
-5.81588,0,0
-5.80787,0,0
-5.79987,0,0
-5.79186,0,0
-5.78386,0,0
-5.77585,0,0
-5.76785,0,0
-5.75984,0,0
-5.75183,0,0
-5.74383,0,0
-5.73582,0,0
-5.72782,0,0
-5.71981,0,0
-5.71181,0,0
-5.7038,0,0
-5.6958,0,0
-5.68779,0,0
-5.67979,0,0
-5.67178,0,0
-5.66378,0,0
-5.65577,0,0
-5.64777,0,0
-5.63976,0,0
-5.63175,0,0
-5.62375,0,0
-5.61574,0,0
-5.60774,0,0
-5.59973,0,0
-5.59173,0,0
-5.58372,0,0
-5.57572,0,0
-5.56771,0,0
-5.55971,0,0
-5.5517,0,0
-5.5437,0,0
-5.53569,0,0
-5.52769,0,0
-5.51968,0,0
-5.51167,0,0
-5.50367,0,0
-5.49566,0,0
-5.48766,0,0
-5.47965,0,0
-5.47165,0,0
-5.46364,0,0
-5.45564,0,0
-5.44763,0,0
-5.43963,0,0
-5.43162,0,0
-5.42362,0,0
-5.41561,0,0
-5.40761,0,0
-5.3996,0,0
-5.39159,0,0
-5.38359,0,0
-5.37558,0,0
-5.36758,0,0
-5.35957,0,0
-5.35157,0,0
-5.34356,0,0
-5.33556,0,0
-5.32755,0,0
-5.31955,0,0
-5.31154,0,0
-5.30354,0,0
-5.29553,0,0
-5.28753,0,0
-5.27952,0,0
-5.27151,0,0
-5.26351,0,0
-5.2555,0,0
-5.2475,0,0
-5.23949,0,0
-5.23149,0,0
-5.22348,0,0
-5.21548,0,0
-5.20747,0,0
-5.19947,0,0
-5.19146,0,0
-5.18346,0,0
-5.17545,0,0
-5.16744,0,0
-5.15944,0,0
-5.15143,0,0
-5.14343,0,0
-5.13542,0,0
-5.12742,0,0
-5.11941,0,0
-5.11141,0,0
-5.1034,0,0
-5.0954,0,0
-5.08739,0,0
-5.07939,0,0
-5.07138,0,0
-5.06338,0,0
-5.05537,0,0
-5.04736,0,0
-5.03936,0,0
-5.03135,0,0
-5.02335,0,0
-5.01534,0,0
-5.00734,0,0
-4.99933,0,0
-4.99133,0,0
-4.98332,0,0
-4.97532,0,0
-4.96731,0,0
-4.95931,0,0
-4.9513,0,0
-4.9433,0,0
-4.93529,0,0
-4.92728,0,0
-4.91928,0,0
-4.91127,0,0
-4.90327,0,0
-4.89526,0,0
-4.88726,0,0
-4.87925,0,0
-4.87125,0,0
-4.86324,0,0
-4.85524,0,0
-4.84723,0,0
-4.83923,0,0
-4.83122,0,0
-4.82322,0,0
-4.81521,0,0
-4.8072,0,0
-4.7992,0,0
-4.79119,0,0
-4.78319,0,0
-4.77518,0,0
-4.76718,0,0
-4.75917,0,0
-4.75117,0,0
-4.74316,0,0
-4.73516,0,0
-4.72715,0,0
-4.71915,0,0
-4.71114,0,0
-4.70314,0,0
-4.69513,0,0
-4.68712,0,0
-4.67912,0,0
-4.67111,0,0
-4.66311,0,0
-4.6551,0,0
-4.6471,0,0
-4.63909,0,0
-4.63109,0,0
-4.62308,0,0
-4.61508,0,0
-4.60707,0,0
-4.59907,0,0
-4.59106,0,0
-4.58306,0,0
-4.57505,0,0
-4.56704,0,0
-4.55904,0,0
-4.55103,0,0
-4.54303,0,0
-4.53502,0,0
-4.52702,0,0
-4.51901,0,0
-4.51101,0,0
-4.503,0,0
-4.495,0,0
-4.48699,0,0
-4.47899,0,0
-4.47098,0,0
-4.46298,0,0
-4.45497,0,0
-4.44696,0,0
-4.43896,0,0
-4.43095,0,0
-4.42295,0,0
-4.41494,0,0
-4.40694,0,0
-4.39893,0,0
-4.39093,0,0
-4.38292,0,0
-4.37492,0,0
-4.36691,0,0
-4.35891,0,0
-4.3509,0,0
-4.3429,0,0
-4.33489,0,0
-4.32688,0,0
-4.31888,0,0
-4.31087,0,0
-4.30287,0,0
-4.29486,0,0
-4.28686,0,0
-4.27885,0,0
-4.27085,0,0
-4.26284,0,0
-4.25484,0,0
-4.24683,0,0
-4.23883,0,0
-4.23082,0,0
-4.22282,0,0
-4.21481,0,0
-4.2068,0,0
-4.1988,0,0
-4.19079,0,0
-4.18279,0,0
-4.17478,0,0
-4.16678,0,0
-4.15877,0,0
-4.15077,0,0
-4.14276,0,0
-4.13476,0,0
-4.12675,0,0
-4.11875,0,0
-4.11074,0,0
-4.10274,0,0
-4.09473,0,0
-4.08672,0,0
-4.07872,0,0
-4.07071,0,0
-4.06271,0,0
-4.0547,0,0
-4.0467,0,0
-4.03869,0,0
-4.03069,0,0
-4.02268,0,0
-4.01468,0,0
-4.00667,0,0
-3.99867,0,0
-3.99066,0,0
-3.98266,0,0
-3.97465,0,0
-3.96664,0,0
-3.95864,0,0
-3.95063,0,0
-3.94263,0,0
-3.93462,0,0
-3.92662,0,0
-3.91861,0,0
-3.91061,0,0
-3.9026,0,0
-3.8946,0,0
-3.88659,0,0
-3.87859,0,0
-3.87058,0,0
-3.86258,0,0
-3.85457,0,0
-3.84656,0,0
-3.83856,0,0
-3.83055,0,0
-3.82255,0,0
-3.81454,0,0
-3.80654,0,0
-3.79853,0,0
-3.79053,0,0
-3.78252,0,0
-3.77452,0,0
-3.76651,0,0
-3.75851,0,0
-3.7505,0,0
-3.74249,0,0
-3.73449,0,0
-3.72648,0,0
-3.71848,0,0
-3.71047,0,0
-3.70247,0,0
-3.69446,0,0
-3.68646,0,0
-3.67845,0,0
-3.67045,0,0
-3.66244,0,0
-3.65444,0,0
-3.64643,0,0
-3.63843,0,0
-3.63042,0,0
-3.62241,0,0
-3.61441,0,0
-3.6064,0,0
-3.5984,0,0
-3.59039,0,0
-3.58239,0,0
-3.57438,0,0
-3.56638,0,0
-3.55837,0,0
-3.55037,0,0
-3.54236,0,0
-3.53436,0,0
-3.52635,0,0
-3.51835,0,0
-3.51034,0,0
-3.50233,0,0
-3.49433,0,0
-3.48632,0,0
-3.47832,0,0
-3.47031,0,0
-3.46231,0,0
-3.4543,0,0
-3.4463,0,0
-3.43829,0,0
-3.43029,0,0
-3.42228,0,0
-3.41428,0,0
-3.40627,0,0
-3.39827,0,0
-3.39026,0,0
-3.38225,0,0
-3.37425,0,0
-3.36624,0,0
-3.35824,0,0
-3.35023,0,0
-3.34223,0,0
-3.33422,0,0
-3.32622,0,0
-3.31821,0,0
-3.31021,0,0
-3.3022,0,0
-3.2942,0,0
-3.28619,0,0
-3.27819,0,0
-3.27018,0,0
-3.26217,0,0
-3.25417,0,0
-3.24616,0,0
-3.23816,0,0
-3.23015,0,0
-3.22215,0,0
-3.21414,0,0
-3.20614,0,0
-3.19813,0,0
-3.19013,0,0
-3.18212,0,0
-3.17412,0,0
-3.16611,0,0
-3.15811,0,0
-3.1501,0,0
-3.14209,0,0
-3.13409,0,0
-3.12608,0,0
-3.11808,0,0
-3.11007,0,0
-3.10207,0,0
-3.09406,0,0
-3.08606,0,0
-3.07805,0,0
-3.07005,0,0
-3.06204,0,0
-3.05404,0,0
-3.04603,0,0
-3.03803,0,0
-3.03002,0,0
-3.02201,0,0
-3.01401,0,0
-3.006,0,0
-2.998,0,0
-2.98999,0,0
-2.98199,0,0
-2.97398,0,0
-2.96598,0,0
-2.95797,0,0
-2.94997,0,0
-2.94196,0,0
-2.93396,0,0
-2.92595,0,0
-2.91795,0,0
-2.90994,0,0
-2.90193,0,0
-2.89393,0,0
-2.88592,0,0
-2.87792,0,0
-2.86991,0,0
-2.86191,0,0
-2.8539,0,0
-2.8459,0,0
-2.83789,0,0
-2.82989,0,0
-2.82188,0,0
-2.81388,0,0
-2.80587,0,0
-2.79787,0,0
-2.78986,0,0
-2.78185,0,0
-2.77385,0,0
-2.76584,0,0
-2.75784,0,0
-2.74983,0,0
-2.74183,0,0
-2.73382,0,0
-2.72582,0,0
-2.71781,0,0
-2.70981,0,0
-2.7018,0,0
-2.6938,0,0
-2.68579,0,0
-2.67779,0,0
-2.66978,0,0
-2.66177,0,0
-2.65377,0,0
-2.64576,0,0
-2.63776,0,0
-2.62975,0,0
-2.62175,0,0
-2.61374,0,0
-2.60574,0,0
-2.59773,0,0
-2.58973,0,0
-2.58172,0,0
-2.57372,0,0
-2.56571,0,0
-2.55771,0,0
-2.5497,0,0
-2.54169,0,0
-2.53369,0,0
-2.52568,0,0
-2.51768,0,0
-2.50967,0,0
-2.50167,0,0
-2.49366,0,0
-2.48566,0,0
-2.47765,0,0
-2.46965,0,0
-2.46164,0,0
-2.45364,0,0
-2.44563,0,0
-2.43763,0,0
-2.42962,0,0
-2.42161,0,0
-2.41361,0,0
-2.4056,0,0
-2.3976,0,0
-2.38959,0,0
-2.38159,0,0
-2.37358,0,0
-2.36558,0,0
-2.35757,0,0
-2.34957,0,0
-2.34156,0,0
-2.33356,0,0
-2.32555,0,0
-2.31755,0,0
-2.30954,0,0
-2.30153,0,0
-2.29353,0,0
-2.28552,0,0
-2.27752,0,0
-2.26951,0,0
-2.26151,0,0
-2.2535,0,0
-2.2455,0,0
-2.23749,0,0
-2.22949,0,0
-2.22148,0,0
-2.21348,0,0
-2.20547,0,0
-2.19746,0,0
-2.18946,0,0
-2.18145,0,0
-2.17345,0,0
-2.16544,0,0
-2.15744,0,0
-2.14943,0,0
-2.14143,0,0
-2.13342,0,0
-2.12542,0,0
-2.11741,0,0
-2.10941,0,0
-2.1014,0,0
-2.0934,0,0
-2.08539,0,0
-2.07738,0,0
-2.06938,0,0
-2.06137,0,0
-2.05337,0,0
-2.04536,0,0
-2.03736,0,0
-2.02935,0,0
-2.02135,0,0
-2.01334,0,0
-2.00534,0,0
-1.99733,0,0
-1.98933,0,0
-1.98132,0,0
-1.97332,0,0
-1.96531,0,0
-1.9573,0,0
-1.9493,0,0
-1.94129,0,0
-1.93329,0,0
-1.92528,0,0
-1.91728,0,0
-1.90927,0,0
-1.90127,0,0
-1.89326,0,0
-1.88526,0,0
-1.87725,0,0
-1.86925,0,0
-1.86124,0,0
-1.85324,0,0
-1.84523,0,0
-1.83722,0,0
-1.82922,0,0
-1.82121,0,0
-1.81321,0,0
-1.8052,0,0
-1.7972,0,0
-1.78919,0,0
-1.78119,0,0
-1.77318,0,0
-1.76518,0,0
-1.75717,0,0
-1.74917,0,0
-1.74116,0,0
-1.73316,0,0
-1.72515,0,0
-1.71714,0,0
-1.70914,0,0
-1.70113,0,0
-1.69313,0,0
-1.68512,0,0
-1.67712,0,0
-1.66911,0,0
-1.66111,0,0
-1.6531,0,0
-1.6451,0,0
-1.63709,0,0
-1.62909,0,0
-1.62108,0,0
-1.61308,0,0
-1.60507,0,0
-1.59706,0,0
-1.58906,0,0
-1.58105,0,0
-1.57305,0,0
-1.56504,0,0
-1.55704,0,0
-1.54903,0,0
-1.54103,0,0
-1.53302,0,0
-1.52502,0,0
-1.51701,0,0
-1.50901,0,0
-1.501,0,0
-1.493,0,0
-1.48499,0,0
-1.47698,0,0
-1.46898,0,0
-1.46097,0,0
-1.45297,0,3.78483e-301
-1.44496,0,7.24521e-298
-1.43696,0,1.3303e-294
-1.42895,0,2.34283e-291
-1.42095,0,3.95755e-288
-1.41294,0,6.41217e-285
-1.40494,0,9.96503e-282
-1.39693,0,1.48541e-278
-1.38893,0,2.12377e-275
-1.38092,0,2.91249e-272
-1.37292,0,3.83103e-269
-1.36491,0,4.8335e-266
-1.3569,0,5.84928e-263
